,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,plot-size,construction-period,garden-surface-area,postcode,date
56,1125,5038 HK Tilburg (Bomenbuurt Oost),Apartment Buxusplaats,Rotsvast Tilburg,/apartment-for-rent/tilburg/3d330346/buxusplaats,https://casco-media-prod.global.ssl.fastly.net/3d330346-e909-555d-830d-43f0164696cd/4b695f00d5491f3b7def633f1b9f73a2.jpg?width=600&auto=webp,61,,2,Upholstered,,,,5038HK,2021-11-02
57,1215,1025 XM Amsterdam (Buikslotermeer),Apartment Termini 83,LIV Residential,/apartment-for-rent/amsterdam/e3ef36b9/termini,https://casco-media-prod.global.ssl.fastly.net/e3ef36b9-6cdb-5942-acd2-d847fb905e50/b8ddc73d8939fdf2e943bc55e3c6b924.jpg?width=600&auto=webp,55,,2,Upholstered,,,,1025XM,2021-11-02
58,1300,1106 KH Amsterdam (Holendrecht/Reigersbos),Apartment Millingenhof,Expats. Amsterdam Rentals,/apartment-for-rent/amsterdam/82ca55a5/millingenhof,https://media.pararius.nl/image/PR0001659000/PR0001659544/image/jpeg/400x600/AmsterdamMillingenhof-29ba_1.jpg,58,,2,Furnished,,,,1106KH,2021-11-02
59,600,2522 EG Den Haag (Laakkwartier-Oost),Apartment Lorentzplein,Immovita,/apartment-for-rent/den-haag/76cb289e/lorentzplein,https://casco-media-prod.global.ssl.fastly.net/76cb289e-d862-5234-b255-42559368306c/5422f79fb007946d65193f9ac522d225.jpg?width=600&auto=webp,65,,2,Upholstered,,,,2522EG,2021-11-02
60,1245,2312 JC Leiden (Pancras-West),Apartment Nieuwe Rijn,JM verhuur,/apartment-for-rent/leiden/a98edcb7/nieuwe-rijn,https://casco-media-prod.global.ssl.fastly.net/a98edcb7-b415-57b0-98bc-dbdce157e165/ae2066a1394b47f4c93ccb76b62f903d.jpg?width=600&auto=webp,50,,2,Furnished,,,,2312JC,2021-11-02
61,1950,1083 DB Amsterdam (Buitenveldert-Oost),Apartment Kanteel 40,Groot Amsterdam Makelaardij BV,/apartment-for-rent/amsterdam/72667c66/kanteel,https://casco-media-prod.global.ssl.fastly.net/72667c66-224b-57a4-a208-b70008a20dfa/f3e30ff512eefded848d0247165d716d.jpg?width=600&auto=webp,100,,3,,,1989,,1083DB,2021-11-02
62,1450,1315 BV Almere (Centrum Almere Stad),Apartment Koperslagerhof 34,Groot Amsterdam Makelaardij BV,/apartment-for-rent/almere/116d3547/koperslagerhof,https://casco-media-prod.global.ssl.fastly.net/116d3547-0ed9-538e-8162-cfdd1d47f5d6/0723d8df742ec8bb4881471238abefef.jpg?width=600&auto=webp,81,,3,,,1982,,1315BV,2021-11-02
63,875,1811 EW Alkmaar (Binnenstad-West),Apartment Het Vijvertje,123Wonen Alkmaar,/apartment-for-rent/alkmaar/5d58a7f0/het-vijvertje,https://casco-media-prod.global.ssl.fastly.net/5d58a7f0-a19f-5280-af95-e61bd4c73044/cab9462c51229af161616b41aeab0d3c.jpg?width=600&auto=webp,45,,2,Upholstered,,,,1811EW,2021-11-02
64,2500,1186 XD Amstelveen (Punterbuurt),House Turfschip,HouseHunting SchipholRegio & Haarlem e.o.,/house-for-rent/amstelveen/cdb8587a/turfschip,https://casco-media-prod.global.ssl.fastly.net/cdb8587a-1797-52f8-a343-4597d17ad3ef/4d7c0676d45c7bc5b37106452f2b4b77.jpg?width=600&auto=webp,180,,5,Furnished,,,,1186XD,2021-11-02
65,930,5507 MZ Veldhoven (Oerle),Apartment Blauwe Kei,GOETH Vastgoed,/apartment-for-rent/veldhoven/f837ded8/blauwe-kei,https://casco-media-prod.global.ssl.fastly.net/f837ded8-3c43-5949-b3f5-49a03f91cbf5/65abc3248a165496e56f2ab86b251711.png?width=600&auto=webp,58,,3,Upholstered,,,,5507MZ,2021-11-02
66,925,6221 CT Maastricht (Wyck),Apartment Wycker Grachtstraat 15 C,Green Housing,/apartment-for-rent/maastricht/99ca6653/wycker-grachtstraat,https://media.pararius.nl/image/PR0001659000/PR0001659543/image/jpeg/400x600/MaastrichtWyckerGrachtstraat-cbb0_1.jpg,60,,2,Upholstered,,,,6221CT,2021-11-02
67,1065,2512 CB Den Haag (Zuidwal),House Lutherse Burgwal,070Wonen,/house-for-rent/den-haag/a9d5cdc3/lutherse-burgwal,https://casco-media-prod.global.ssl.fastly.net/a9d5cdc3-b3bf-5a98-bdb3-e63b55f8b912/d13d39253a65394cf9a3e7fa0532ec32.jpg?width=600&auto=webp,75,,2,,,1700,,2512CB,2021-11-02
68,752,7543 CT Enschede (Boswinkel-De Braker),Apartment Frederikastraat,Vlug Wonen,/apartment-for-rent/enschede/80fba0c0/frederikastraat,https://casco-media-prod.global.ssl.fastly.net/80fba0c0-577e-58d3-9456-0e00714a23bf/28da1e5eabb9c70fd87699101266810c.jpg?width=600&auto=webp,65,,2,Upholstered,,,,7543CT,2021-11-02
69,1025,2515 AW Den Haag (Rivierenbuurt-Noord),Apartment Pletterijstraat 81,Vesting Vastgoed,/apartment-for-rent/den-haag/66a6f4cc/pletterijstraat,https://casco-media-prod.global.ssl.fastly.net/66a6f4cc-587e-5871-a151-3d1a5140dad3/fb91cf35ac01e8d2674780372e406869.jpg?width=600&auto=webp,65,,2,Upholstered,,,,2515AW,2021-11-02
70,895,2811 HK Reeuwijk (Platteweg),House Korssendijk,Rotsvast Gouda,/house-for-rent/reeuwijk/d2737dff/korssendijk,https://casco-media-prod.global.ssl.fastly.net/d2737dff-46c3-570c-8f8a-f6298f8a1caa/2d1885d6ba8311497918ef08acbdb3ee.jpg?width=600&auto=webp,50,,4,Furnished,,,,2811HK,2021-11-02
71,1345,2743 CC Waddinxveen (Bomenwijk),Apartment Limaweg,Rotsvast Gouda,/apartment-for-rent/waddinxveen/1bd13f7b/limaweg,https://casco-media-prod.global.ssl.fastly.net/1bd13f7b-c5ae-5355-a354-c0a36c502a10/6f9fc817ec4bed0b8e8bcf2c8a9e6f4b.jpg?width=600&auto=webp,64,,3,Upholstered,,,,2743CC,2021-11-02
