,price,address,street,agency,irl,image,Living area,Rooms,Year of construction,interior,status,garden area,plot area,postcode,date
5031,4599,1074 CC Amsterdam (Oude Pijp),Apartment Govert Flinckstraat,Rotterdam Apartments,/apartment-for-rent/amsterdam/0b6f9b62/govert-flinckstraat,https://casco-media-prod.global.ssl.fastly.net/0b6f9b62-779c-5a46-a86b-fff35de5447f/ae07af2ef1a1eb65e176e555c34bad76.jpg?width=600&auto=webp,110,3,1883,Furnished,,,,1074CC,2021-08-30
5032,4599,1013 LB Amsterdam (Haarlemmerbuurt),Apartment Vierwindendwarsstraat,Rotterdam Apartments,/apartment-for-rent/amsterdam/ce4ae95b/vierwindendwarsstraat,https://casco-media-prod.global.ssl.fastly.net/ce4ae95b-519c-51ab-9550-6bdf251e1718/2656c41c41109e090c43cee4bc25699b.jpg?width=600&auto=webp,77,3,1930,Furnished,,,,1013LB,2021-08-30
5033,4599,1052 CS Amsterdam (Frederik Hendrikbuurt),Apartment Nassaukade,Rotterdam Apartments,/apartment-for-rent/amsterdam/8662f78e/nassaukade,https://casco-media-prod.global.ssl.fastly.net/8662f78e-448b-5c60-8bf6-3c935e14d0c4/655fde0d39a424c7b27b92a590eddf3e.jpg?width=600&auto=webp,80,3,1930,Furnished,,,,1052CS,2021-08-30
5034,3200,2514 BD Den Haag (Willemspark),House Laan van Roos en Doorn,Vesting Vastgoed,/house-for-rent/den-haag/68bb69ef/laan-van-roos-en-doorn,https://casco-media-prod.global.ssl.fastly.net/68bb69ef-505d-5a71-a29d-c589b70b4777/46fef34f8621cda83adbea28c6a9189d.jpg?width=600&auto=webp,198,5,1910,,,,198 m²,2514BD,2021-08-30
5035,1600,1013 EE Amsterdam (Haarlemmerbuurt),Apartment Binnen Brouwersstraat,Mar. J. Heule,/apartment-for-rent/amsterdam/cc292326/binnen-brouwersstraat,https://casco-media-prod.global.ssl.fastly.net/cc292326-2cb6-5495-bc25-2dfb42cd1003/8841c78fc535eedfd9cccd92fc6e6dfa.jpg?width=600&auto=webp,52,3,Before 1906,,,,,1013EE,2021-08-30
5036,860,8911 KJ Leeuwarden (Blokhuisplein),Apartment Oosterkade 122 b,ViaDaan,/apartment-for-rent/leeuwarden/b67cb0af/oosterkade,https://casco-media-prod.global.ssl.fastly.net/b67cb0af-46c6-57af-951c-c166f958e507/4f4d3db221c4fad53d238dccb4a8a42e.jpg?width=600&auto=webp,61,2,2021,Upholstered,,,,8911KJ,2021-08-30
5037,2275,2286 WL Rijswijk (Sion),House Boomgaard,Homeland Real Estate,/house-for-rent/rijswijk/29a7ca91/boomgaard,https://casco-media-prod.global.ssl.fastly.net/29a7ca91-bbe8-5dbd-a2b3-89b4bc26604d/7483547171c82d135ac0c5c85c52af4d.jpg?width=600&auto=webp,130,5,,Upholstered,,,,2286WL,2021-08-30
5038,895,6814 DD Arnhem (Burgemeesterswijk),House Sweerts de Landasstraat 107 2,EHR Arnhem,/house-for-rent/arnhem/776fca65/sweerts-de-landasstraat,https://casco-media-prod.global.ssl.fastly.net/776fca65-f4ea-5e07-aee6-df60a69084c9/bbf1770948145e0eb614ba2d74b840be.jpg?width=600&auto=webp,58,2,1910,Furnished,,,,6814DD,2021-08-30
5039,685,6041 GL Roermond (Binnenstad),Studio Godsweerdersingel,OMNI HOUSE,/studio-for-rent/roermond/57f71b0b/godsweerdersingel,https://casco-media-prod.global.ssl.fastly.net/57f71b0b-e8a3-52c5-9a3f-bafe66d77785/afb0360279bbcf720809273fe6c9fd34.jpg?width=600&auto=webp,40,1,,Furnished,,,,6041GL,2021-08-30
5040,1250,3012 GH Rotterdam (Cool),Apartment Karel Doormanstraat,Kolpa V.V.S. Beheer,/apartment-for-rent/rotterdam/f424617e/karel-doormanstraat,https://casco-media-prod.global.ssl.fastly.net/f424617e-ffdd-55f8-b885-3f31ba6eff0d/db2f536f9d132832077f2cd8967c56ff.jpg?width=600&auto=webp,60,3,1966,Upholstered,,,,3012GH,2021-08-30
5041,1490,6574 AE Ubbergen (Ubbergen),Apartment Rijksstraatweg 48 e,DolFijnWonen,/apartment-for-rent/ubbergen/92575b89/rijksstraatweg,https://casco-media-prod.global.ssl.fastly.net/92575b89-3c25-5d3d-b433-a8ac11feaf44/1eebb8ac322176001398b1b028de3783.jpg?width=600&auto=webp,90,2,1919,,,,,6574AE,2021-08-30
