,price,address,street,agency,irl,image,surface-area,status,number-of-rooms,interior,construction-period,garden-surface-area,plot-size,postcode,date
1539,1495,3071 AE Rotterdam (Kop van Zuid - Entrepot),Apartment Eric Kropstraat,BenHousing,/apartment-for-rent/rotterdam/5b4bda51/eric-kropstraat,https://casco-media-prod.global.ssl.fastly.net/5b4bda51-87b6-53d3-a8d4-bfd4c1e46003/0418c2da74e72030513192e48e19b0e5.jpg?width=600&auto=webp,103,,3,Furnished,,,,3071AE,2021-10-14
1540,2400,2561 TW Den Haag (Koningsplein en omgeving),Apartment Daguerrestraat,Expata Real Estate,/apartment-for-rent/den-haag/fd68bf15/daguerrestraat,https://casco-media-prod.global.ssl.fastly.net/fd68bf15-eed9-57b9-9c67-22bca9839db2/828cd133cbaf9806a554a69430dcc53d.jpg?width=600&auto=webp,173,,6,Upholstered,,,,2561TW,2021-10-14
1541,1250,3011 KM Rotterdam (Stadsdriehoek),Apartment Goudsesingel,Riva Rentals,/apartment-for-rent/rotterdam/54941802/goudsesingel,https://casco-media-prod.global.ssl.fastly.net/54941802-fd1c-5ac0-9fbc-c21a9d09324a/61f789bbc44c69f8931bb5511ad0ce3a.jpg?width=600&auto=webp,50,,2,Upholstered,,,,3011KM,2021-10-14
1542,1350,3014 GR Rotterdam (Oude Westen),Apartment Westersingel,Rotterdam Apartments,/apartment-for-rent/rotterdam/53032aa5/westersingel,https://casco-media-prod.global.ssl.fastly.net/53032aa5-14c6-5ed8-9174-d114316b6237/cf97fa4f927620d35aa0bcffb398ae39.jpg?width=600&auto=webp,45,,2,Furnished,,,,3014GR,2021-10-14
1543,900,6836 AC Arnhem (Rijkerswoerd-West),Apartment Mooieweg,1huis Makelaars,/apartment-for-rent/arnhem/c966a84f/mooieweg,https://casco-media-prod.global.ssl.fastly.net/c966a84f-917d-52a5-9cfb-33af3728f563/1ddea7c2e6025eae74bd827c880cfbeb.jpg?width=600&auto=webp,45,,3,,2015,,,6836AC,2021-10-14
1544,900,6836 AC Arnhem (Rijkerswoerd-West),Apartment Mooieweg,1huis Makelaars,/apartment-for-rent/arnhem/967d703a/mooieweg,https://casco-media-prod.global.ssl.fastly.net/967d703a-3447-5010-a124-183ac817a5d9/549b26a26d04c81ac04b8d041381011e.jpg?width=600&auto=webp,45,,3,,2015,,,6836AC,2021-10-14
1545,980,6828 XM Arnhem (Statenkwartier),Apartment Johan de Wittlaan 265 2,Huizenbalie.nl,/apartment-for-rent/arnhem/d7276bfb/johan-de-wittlaan,https://casco-media-prod.global.ssl.fastly.net/d7276bfb-40c1-5c62-a6a3-8f6e5019435e/a5a7833123baa9a44b91276617377e45.jpg?width=600&auto=webp,70,,4,Shell,,,,6828XM,2021-10-14
1546,1830,1082 JS Amsterdam (Buitenveldert-West),Apartment Teilingen,Eefje Voogd Makelaardij,/apartment-for-rent/amsterdam/469a1230/teilingen,https://casco-media-prod.global.ssl.fastly.net/469a1230-24c6-5de2-b72c-9f1d504aa344/64aee5428a85ca9fc08e2f116479d630.jpg?width=600&auto=webp,91,,3,Furnished,,,,1082JS,2021-10-14
1547,2360,1082 JP Amsterdam (Buitenveldert-West),Apartment Teilingen,Eefje Voogd Makelaardij,/apartment-for-rent/amsterdam/b5cc7f0e/teilingen,https://casco-media-prod.global.ssl.fastly.net/b5cc7f0e-5e8a-51e5-a169-a9128116b4ed/005bbc679d33c7be2d3dcc64f68049c1.jpg?width=600&auto=webp,129,,3,Furnished,,,,1082JP,2021-10-14
1548,975,9264 TP Earâld (Earâld),House Koaidyk,123wonen Friesland,/house-for-rent/earnewald/28f1f7a4/koaidyk,https://casco-media-prod.global.ssl.fastly.net/28f1f7a4-ba2e-5b56-a9c7-bd318f616c94/6c6d10cdc006959a8d82593cd730a5b7.jpg?width=600&auto=webp,75,,3,Furnished,,,,9264TP,2021-10-14
1549,1650,1108 CX Amsterdam (Nellestein),Apartment Leusdenhof 91,Amsterdam Housing,/apartment-for-rent/amsterdam/f1291b21/leusdenhof,https://casco-media-prod.global.ssl.fastly.net/f1291b21-886a-59e3-b0ce-ddd1d06970fd/6330935d8fad9cef44514ac660ad61cb.jpg?width=600&auto=webp,70,,3,Upholstered or furnished,,,,1108CX,2021-10-14
1550,1375,5046 CE Tilburg (Goirke Noord),House Wittebollestraat,123Wonen Tilburg,/house-for-rent/tilburg/7573ff27/wittebollestraat,https://casco-media-prod.global.ssl.fastly.net/7573ff27-214d-59b5-b228-1956c6bc7822/ffc6bc3b40190ae5e7faa0d2e46f8579.jpg?width=600&auto=webp,132,,6,Upholstered,,,,5046CE,2021-10-14
1551,2800,1012 KL Amsterdam (Burgwallen-Oude Zijde),Apartment Rokin,Absolute Housing,/apartment-for-rent/amsterdam/b736f7d8/rokin,https://casco-media-prod.global.ssl.fastly.net/b736f7d8-e060-5dd9-806e-145df113fb87/e516fc45fd381c8eea43d2641a04add1.jpg?width=600&auto=webp,120,,3,Upholstered or furnished,,,,1012KL,2021-10-14
1552,1714,1033 RD Amsterdam (Noordelijke IJ-oevers West),Apartment ms. van Riemsdijkweg,Wooove B.V.,/apartment-for-rent/amsterdam/77e93e47/ms-van-riemsdijkweg,https://casco-media-prod.global.ssl.fastly.net/77e93e47-f379-539e-8979-597e9bd2360e/68f6550b5218852ca289c5f6a4271d10.jpg?width=600&auto=webp,82,,3,,2020,,,1033RD,2021-10-14
1553,1948,1033 WW Amsterdam (Noordelijke IJ-oevers West),Apartment Hellingstraat,Wooove B.V.,/apartment-for-rent/amsterdam/82d40823/hellingstraat,https://casco-media-prod.global.ssl.fastly.net/82d40823-3d77-5d78-8b33-43564e83ac3c/55811478f6c10c9a46cdb7845a7de582.jpg?width=600&auto=webp,88,,4,,2020,,,1033WW,2021-10-14
1554,1425,2511 DB Den Haag (Uilebomen),Apartment Korte Houtstraat,The Real Estate Company,/apartment-for-rent/den-haag/148b025c/korte-houtstraat,https://casco-media-prod.global.ssl.fastly.net/148b025c-ff52-510f-b55b-5153cd1ae5a0/bd6ac83346a24a10be1b9bf5814bb404.jpg?width=600&auto=webp,70,,3,Furnished,,,,2511DB,2021-10-14
1555,1095,5324 EA Ammerzoden (Ammerzoden),House Van Herlaerstraat,MVG Capital Vastgoedbeheer & Advies,/house-for-rent/ammerzoden/97ed7175/van-herlaerstraat,https://casco-media-prod.global.ssl.fastly.net/97ed7175-e435-5d78-9a93-7abe2e9e4fbd/d4b116ce6c0be9daf0223b21fd69bc8e.jpg?width=600&auto=webp,116,,5,,1972,,,5324EA,2021-10-14
