,price,address,street,agency,irl,image,Living area,Rooms,interior,status,Year of construction,plot area,garden area,postcode,date
48,1850,2517 AP Den Haag (Zeeheldenkwartier),Apartment Laan van Meerdervoort 84 26.,Estata Makelaars O.G.,/apartment-for-rent/den-haag/f501130b/laan-van-meerdervoort,https://casco-media-prod.global.ssl.fastly.net/f501130b-1b3a-5cac-a2c7-187e1a35b385/80c20be527adcbf3110e8944e9a24f8e.jpg?width=600&auto=webp,85,3,Furnished,,1991-2000,,,2517AP,2021-08-25
49,958,5503 GE Veldhoven (Meerveldhoven),Apartment Broekweg,Stones Housing,/apartment-for-rent/veldhoven/31ca0e7b/broekweg,https://media.pararius.nl/image/PR0001657000/PR0001657996/image/jpeg/400x600/VeldhovenBroekweg-ee0c_6.jpg,50,2,Upholstered,,,,,5503GE,2021-08-25
50,2500,2011 SL Haarlem (Heiliglanden),Apartment Grote Houtstraat,Koops Makelaardij,/apartment-for-rent/haarlem/dfdb46cd/grote-houtstraat,https://casco-media-prod.global.ssl.fastly.net/dfdb46cd-f349-5305-90e5-d1c57afc7e20/775a4ed630f7d4e2b2bfa700f6f07557.jpg?width=600&auto=webp,145,2,,,1880,,48,2011SL,2021-08-25
51,1900,1181 ZR Amstelveen (Stadshart),Apartment Galerij,Great Expatation,/apartment-for-rent/amstelveen/c0933f8a/galerij,https://media.pararius.nl/image/PR0001657000/PR0001657995/image/jpeg/400x600/AmstelveenGalerij-00e1_17.jpg,105,3,Upholstered,,,,,1181ZR,2021-08-25
52,2000,2517 LA Den Haag (Zorgvliet),Apartment Jan Willem Frisohof 34,The Hague Real Estate Services,/apartment-for-rent/den-haag/dd64a6b8/jan-willem-frisohof,https://casco-media-prod.global.ssl.fastly.net/dd64a6b8-51fb-5c5c-a6b3-7284d034ba91/3518d6fdb45b16775408e77a04ff2b44.jpg?width=600&auto=webp,110,3,,,1994,,20,2517LA,2021-08-25
53,1500,1091 TJ Amsterdam (Weesperzijde),Apartment Marcusstraat,BIC Makelaardij,/apartment-for-rent/amsterdam/897dcf00/marcusstraat,https://casco-media-prod.global.ssl.fastly.net/897dcf00-d6c0-5323-a3c7-530a021bf58d/0a7a82aace67896f0351f8fceb5b0893.jpg?width=600&auto=webp,68,3,Upholstered,,2011-2020,,,1091TJ,2021-08-25
54,1975,3581 TG Utrecht (Oudwijk),Apartment Oudwijk,Covers & Jonker Makelaars BV,/apartment-for-rent/utrecht/c67ab97b/oudwijk,https://casco-media-prod.global.ssl.fastly.net/c67ab97b-1c04-53ba-99ba-5dfe1d1399dd/324ac20b0c3cbd9bc0727ec41bdf7f1a.jpg?width=600&auto=webp,122,4,,,1929,,22,3581TG,2021-08-25
55,1550,2514 BC Den Haag (Willemspark),Apartment Laan van Roos en Doorn 35 G,The Real Estate Company,/apartment-for-rent/den-haag/48783378/laan-van-roos-en-doorn,https://casco-media-prod.global.ssl.fastly.net/48783378-491c-5ac6-bb89-dc005a81917c/cf6327a34151eeca6c72f79991ae5c0f.jpg?width=600&auto=webp,95,3,Furnished,,1900,,,2514BC,2021-08-25
56,1350,3024 VA Rotterdam (Delfshaven),Apartment Dirck Hoffstraat,Rent an Apartment,/apartment-for-rent/rotterdam/2c1602bf/dirck-hoffstraat,https://casco-media-prod.global.ssl.fastly.net/2c1602bf-7085-5013-ae78-3aac6432927e/4321c0667c37c2d734d30f0d9f1b81e9.jpg?width=600&auto=webp,69,4,Upholstered,,1931,,,3024VA,2021-08-25
57,1350,3024 VA Rotterdam (Delfshaven),Apartment Dirck Hoffstraat,Rent an Apartment,/apartment-for-rent/rotterdam/0fa90e21/dirck-hoffstraat,https://casco-media-prod.global.ssl.fastly.net/0fa90e21-4f2e-5fb1-9ed5-8707b6135f84/37119a7e51a1c0491759f895df94f46f.jpg?width=600&auto=webp,69,4,Upholstered,,1931,,,3024VA,2021-08-25
58,1595,"3532 XB Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)",Apartment Douwes Dekkerstraat 32,StartHousing,/apartment-for-rent/utrecht/afe81530/douwes-dekkerstraat,https://casco-media-prod.global.ssl.fastly.net/afe81530-cf79-5ba2-8cec-ecde363e3efa/156b61ac8d8470d3dfa9370157286f82.jpg?width=600&auto=webp,80,3,Furnished,,1969,,,3532XB,2021-08-25
59,950,8031 CJ Zwolle (Holtenbroek II),Apartment Beethovenlaan 546,Woningwell Vastgoed,/apartment-for-rent/zwolle/a6fec96d/beethovenlaan,https://media.pararius.nl/image/PR0001657000/PR0001657994/image/jpeg/400x600/ZwolleBeethovenlaan-65f8_1.jpg,84,3,Upholstered,,,,,8031CJ,2021-08-25
60,1050,9721 HL Groningen (De Wijert),House Hora Siccamasingel,123Wonen Groningen,/house-for-rent/groningen/a0e994a9/hora-siccamasingel,https://casco-media-prod.global.ssl.fastly.net/a0e994a9-4fd4-54a8-98b4-4e92f0474ead/1615a03cfd3d41ec7915424470e12d4c.jpg?width=600&auto=webp,72,3,Upholstered,,1963,,,9721HL,2021-08-25
61,1495,3082 DS Rotterdam (Oud Charlois),Apartment Rietdijk 29,Wonen Hartje - ,/apartment-for-rent/rotterdam/87d84d87/rietdijk,https://media.pararius.nl/image/PR0001657000/PR0001657993/image/jpeg/400x600/RotterdamRietdijk-a976_1.jpg,95,4,Upholstered,,2006,,,3082DS,2021-08-25
