city,latitude,longitude,Provincie,population
Nieuw-Lekkerland,51.8833,4.6833,Zuid-Holland,9541.0
Hoek van Holland,51.9763,4.1323,Zuid-Holland,9382.0
Ubbergen,51.8333,5.9167,Gelderland,9358.0
Olst,52.3378,6.1108,Overijssel,9329.0
Weerselo,52.3519,6.8572,Overijssel,9294.0
Smilde,52.9486,6.4483,Drenthe,9222.0
Nieuwleusen,52.5833,6.2833,Overijssel,9190.0
Ter Aar,52.1667,4.7167,Zuid-Holland,9137.0
Groenlo,52.05,6.6167,Gelderland,9119.0
Eemnes,52.2539,5.2572,Utrecht,9113.0
Heer,50.8406,5.7269,Limburg,8985.0
Holten,52.2814,6.4186,Overijssel,8896.0
Abcoude,52.2719,4.9703,Utrecht,8791.0
Wervershoof,52.7347,5.1492,Noord-Holland,8746.0
Oudover,52.2,5.1333,Utrecht,8737.0
Swalmen,51.2333,6.0333,Limburg,8690.0
Dinxperlo,51.8667,6.4833,Gelderland,8565.0
Loenen,52.2419,5.0275,Utrecht,8562.0
Vorden,52.1,6.3167,Gelderland,8491.0
Hoevelaken,52.175,5.4583,Gelderland,8461.0
Hengelo,52.05,6.3,Gelderland,8457.0
Zoeterwoude,52.1136,4.5058,Zuid-Holland,8450.0
Dirksland,51.75,4.1,Zuid-Holland,8408.0
Assendelft,52.4667,4.75,Noord-Holland,8335.0
Steenwijkerwold,52.8036,6.0617,Overijssel,8331.0
Heel,51.1806,5.8964,Limburg,8295.0
Hoeven,51.5775,4.5808,Noord-Brabant,8235.0
Oude Pekela,53.1,7.0167,Groningen,8214.0
Ouderkerk aan de Amstel,52.2972,4.9117,Noord-Holland,8200.0
Elsloo,50.971,5.7541,Limburg,8191.0
Ruurlo,52.0833,6.45,Gelderland,8083.0
Oostvoorne,51.9119,4.1008,Zuid-Holland,8055.0
Reusel,51.3617,5.1631,Noord-Brabant,8030.0
Wognum,52.6819,5.0228,Noord-Holland,8006.0
Hasselt,52.5908,6.0911,Overijssel,7960.0
Moordrecht,51.9861,4.6681,Zuid-Holland,7932.0
Heino,52.4358,6.2339,Overijssel,7930.0
Harmelen,52.0894,4.9608,Utrecht,7884.0
Venhuizen,52.6624,5.2,Noord-Holland,7828.0
Wittem,50.8133,5.9122,Limburg,7769.0
Numansdorp,51.7331,4.4381,Zuid-Holland,7761.0
Schoonebeek,52.6617,6.8831,Drenthe,7747.0
Anna Paulowna,52.85,4.8167,Noord-Holland,7380.0
Ten Boer,53.2833,6.6833,Groningen,7292.0
Lekkerkerk,51.8972,4.6828,Zuid-Holland,7291.0
Gendt,51.8769,5.9725,Gelderland,7286.0
Markelo,52.2342,6.4953,Overijssel,7272.0
Norg,53.0661,6.4594,Drenthe,7270.0
Sevenum,51.4167,6.0333,Limburg,7234.0
Amerongen,52.0025,5.4608,Utrecht,7222.0
Sappemeer,53.1633,6.7767,Groningen,7126.0
Rhoon,51.8667,4.4333,Zuid-Holland,7004.0
Ruinen,52.7633,6.3564,Drenthe,6974.0
Grubbenvorst,51.4189,6.1431,Limburg,6960.0
Lienden,51.9467,5.5189,Gelderland,6880.0
Baarle-Nassau,51.45,4.9333,Noord-Brabant,6847.0
Maasland,51.9333,4.2667,Zuid-Holland,6821.0
Teteringen,51.6086,4.8206,Noord-Brabant,6695.0
Lith,51.8042,5.4408,Noord-Brabant,6685.0
Oudorp,52.6331,4.7736,Noord-Holland,6666.0
Klundert,51.6628,4.5289,Noord-Brabant,6601.0
Schoorl,52.7014,4.6944,Noord-Holland,6586.0
Bellingwolde,53.1203,7.1719,Groningen,6578.0
Gramsbergen,52.6103,6.6728,Overijssel,6500.0
Obdam,52.6743,4.8995,Noord-Holland,6448.0
Andijk,52.75,5.22,Noord-Holland,6423.0
Erp,51.6003,5.6053,Noord-Brabant,6422.0
Zevenhuizen,52.0108,4.58,Zuid-Holland,6414.0
Kerkwijk,51.7744,5.2194,Gelderland,6269.0
Groot-Valkenisse,51.4889,3.5156,Zeeland,6168.0
Rolde,52.9869,6.6461,Drenthe,6131.0
Dussen,51.7317,4.9633,Noord-Brabant,6127.0
Krimpen aan de Lek,51.8931,4.6275,Zuid-Holland,6114.0
IJsselmonde,51.9,4.55,Zuid-Holland,6100.0
Hooge Zwaluwe,51.6989,4.7245,Noord-Brabant,6014.0
Maarn,52.0642,5.3731,Utrecht,5975.0
Eygelshoven,50.8925,6.0592,Limburg,5954.0
Millingen aan de Rijn,51.8667,6.05,Gelderland,5921.0
Gieten,53.0053,6.7631,Drenthe,5877.0
Maurik,51.96,5.4236,Gelderland,5865.0
Havelte,52.7739,6.2383,Drenthe,5858.0
Bennebroek,52.3214,4.5967,Noord-Holland,5842.0
Moergestel,51.55,5.1833,Noord-Brabant,5835.0
Meijel,51.35,5.8833,Limburg,5789.0
Zeeland,51.6967,5.6731,Noord-Brabant,5788.0
Berghem,51.77,5.5747,Noord-Brabant,5700.0
Puttershoek,51.8044,4.5681,Zuid-Holland,5688.0
Rijsbergen,51.5167,4.7,Noord-Brabant,5665.0
Nieuwe Pekela,53.0786,6.9642,Groningen,5604.0
Dalen,52.7,6.75,Drenthe,5564.0
Westenschouwen,51.705,3.7403,Zeeland,5540.0
Ouderkerk aan den IJssel,51.9322,4.6361,Zuid-Holland,5516.0
Wilnis,52.1978,4.9,Utrecht,5513.0
Limbricht,51.0117,5.8369,Limburg,5471.0
Belfeld,51.31,6.1144,Limburg,5449.0
Bovenkarspel,52.7,5.25,Noord-Holland,5439.0
Schermerhorn,52.6067,4.8511,Noord-Holland,5359.0
Hoogkerk,53.2167,6.5,Groningen,5307.0
Renswoude,52.0739,5.5406,Utrecht,5259.0
Nederhorst den Berg,52.2567,5.0458,Noord-Holland,5241.0
Bathmen,52.25,6.2869,Overijssel,5224.0
Warmond,52.1972,4.5017,Zuid-Holland,5159.0
Stompwijk,52.0944,4.4697,Zuid-Holland,5112.0
Velden,51.4117,6.1678,Limburg,5085.0
Sint Pancras,52.6631,4.7853,Noord-Holland,5068.0
Arnemuiden,51.5,3.6667,Zeeland,5055.0
Wanroij,51.6561,5.82,Noord-Brabant,5044.0
Peize,53.1478,6.4961,Drenthe,5005.0
Steenderen,52.0667,6.1833,Gelderland,4990.0
Stramproy,51.1933,5.7192,Limburg,4916.0
Uithuizen,53.4067,6.6722,Groningen,4914.0
Urmond,50.9906,5.7711,Limburg,4913.0
Waspik,51.6867,4.9444,Noord-Brabant,4871.0
Uithuizermeeden,53.4144,6.7264,Groningen,4859.0
Schinveld,50.9678,5.9803,Limburg,4856.0
Bunde,50.8958,5.7331,Limburg,4798.0
Muntendam,53.1336,6.8686,Groningen,4748.0
Midwolda,53.1928,7.0161,Groningen,4719.0
Oirsbeek,50.9489,5.9089,Limburg,4717.0
Leimuiden,52.2247,4.6717,Zuid-Holland,4711.0
Termunten,53.2961,7.0436,Groningen,4694.0
Zwartsluis,52.6419,6.0703,Overijssel,4688.0
Koudekerk aan den Rijn,52.1347,4.6019,Zuid-Holland,4671.0
Linschoten,52.0628,4.9144,Utrecht,4669.0
Helvoirt,51.6308,5.2297,Noord-Brabant,4619.0
Hulsberg,50.8883,5.8553,Limburg,4578.0
Giessenburg,51.85,4.8897,Zuid-Holland,4576.0
Bierum,53.3814,6.8594,Groningen,4559.0
Ootmarsum,52.4072,6.8994,Overijssel,4530.0
Dodewaard,51.9103,5.6568,Gelderland,4528.0
Roggel,51.2625,5.9269,Limburg,4507.0
Haastrecht,52.0003,4.7765,Zuid-Holland,4418.0
Stolwijk,51.9736,4.7711,Zuid-Holland,4344.0
Driel,51.9592,5.8131,Gelderland,4339.0
Driebruggen,52.0433,4.7986,Zuid-Holland,4328.0
Berkhout,52.6419,4.9969,Noord-Holland,4321.0
Ammerzoden,51.75,5.22,Gelderland,4318.0
Den Dungen,51.6653,5.3714,Noord-Brabant,4297.0
Ewijk,51.8833,5.7,Gelderland,4258.0
Gasselte,52.9719,6.7922,Drenthe,4227.0
Klimmen,50.8764,5.8819,Limburg,4208.0
Kessel,51.2919,6.0533,Limburg,4189.0
Mijnsheerenland,51.7964,4.4831,Zuid-Holland,4185.0
Warmenhuizen,52.7225,4.7397,Noord-Holland,4140.0
Vleuten,52.1081,5.015,Utrecht,4076.0
Voorhout,52.2231,4.4864,Zuid-Holland,4060.0
Wedde,53.0667,7.0833,Groningen,4057.0
Leende,51.3497,5.5525,Noord-Brabant,4051.0
Leens,53.3609,6.3878,Groningen,4048.0
Hedel,51.7467,5.2592,Gelderland,4042.0
Hoogkarspel,52.6947,5.1778,Noord-Holland,4034.0
Diessen,51.4739,5.1747,Noord-Brabant,4020.0
Kortgene,51.5583,3.8,Zeeland,3977.0
Cadier en Keer,50.8283,5.7678,Limburg,3923.0
Delden,52.2625,6.7111,Overijssel,3857.0
Clinge,51.2706,4.0881,Zeeland,3815.0
Linne,51.1542,5.9392,Limburg,3813.0
Wissekerke,51.5014,3.8454,Zeeland,3778.0
Barsingerhorn,52.7853,4.8417,Noord-Holland,3764.0
Putte,51.3506,4.3978,Noord-Brabant,3758.0
Spaubeek,50.9378,5.8414,Limburg,3718.0
Sommelsdijk,51.7547,4.1531,Zuid-Holland,3715.0
Klein Mariekerke,51.5281,3.5314,Zeeland,3681.0
Klaaswaal,51.7694,4.4453,Zuid-Holland,3647.0
Westerblokker,52.6644,5.1061,Noord-Holland,3641.0
Benthuizen,52.0761,4.5447,Zuid-Holland,3639.0
Oud-Vroenhoven,50.8478,5.6514,Limburg,3638.0
Zaamslag,51.3125,3.9131,Zeeland,3631.0
Wijk en Aalburg,51.7542,5.1306,Noord-Brabant,3630.0
Chaam,51.5044,4.8614,Noord-Brabant,3630.0
Beesd,51.8875,5.1911,Gelderland,3611.0
Neer,51.2614,5.9917,Limburg,3591.0
Veur,52.0833,4.4333,Zuid-Holland,3590.0
Vledder,52.8556,6.2103,Drenthe,3590.0
Diever,52.8556,6.3175,Drenthe,3571.0
Sint Odiliënberg,51.1425,6.0017,Limburg,3565.0
Muiden,52.3292,5.0714,Noord-Holland,3535.0
Herten,51.1803,5.9633,Limburg,3516.0
Zuid-Beijerland,51.7514,4.3678,Zuid-Holland,3445.0
Moerkapelle,52.0456,4.5753,Zuid-Holland,3444.0
Koudekerke,51.4808,3.5528,Zeeland,3419.0
Willemstad,51.6919,4.4378,Noord-Brabant,3370.0
Amstenrade,50.9383,5.9222,Limburg,3350.0
Meerlo,51.5119,6.0856,Limburg,3317.0
Hoogwoud,52.7153,4.9367,Noord-Holland,3258.0
Ooltgensplaat,51.6825,4.3492,Zuid-Holland,3230.0
Dreumel,51.8492,5.4325,Gelderland,3150.0
Overasselt,51.7597,5.7875,Gelderland,3124.0
Rossum,51.8008,5.3356,Gelderland,3102.0
Oude-Tonge,51.6914,4.2128,Zuid-Holland,3101.0
Maasdam,51.7881,4.5561,Zuid-Holland,3087.0
Kortenhoef,52.2397,5.1147,Noord-Holland,3085.0
Amby,50.8667,5.7333,Limburg,3038.0
Dinther,51.645,5.4864,Noord-Brabant,3014.0
Meerkerk,51.92,4.9942,Zuid-Holland,3007.0
IJzendijke,51.3214,3.6164,Zeeland,3006.0
Eenrum,53.3625,6.4606,Groningen,3001.0
Oudshoorn,52.1333,4.6667,Zuid-Holland,2994.0
Geulle,50.9225,5.7503,Limburg,2991.0
Deil,51.8842,5.2442,Gelderland,2955.0
Haps,51.6886,5.8608,Noord-Brabant,2940.0
Kockengen,52.1517,4.9522,Utrecht,2935.0
Koedijk,52.675,4.7483,Noord-Holland,2931.0
Zwammerdam,52.1058,4.7272,Zuid-Holland,2922.0
Nieuw-Beijerland,51.8119,4.3425,Zuid-Holland,2905.0
Luyksgestel,51.29,5.3239,Noord-Brabant,2872.0
Zevenhoven,52.1825,4.7789,Zuid-Holland,2864.0
Dieren,52.0521,6.0974,Gelderland,2864.0
Grathem,51.1925,5.8578,Limburg,2860.0
Nijeveen,52.7328,6.1675,Drenthe,2860.0
Standdaarbuiten,51.6122,4.5144,Noord-Brabant,2839.0
Zweeloo,52.7936,6.7303,Drenthe,2834.0
Middelstum,53.35,6.65,Groningen,2831.0
Ameide,51.9539,4.9625,Zuid-Holland,2808.0
Buurmalsen,51.8928,5.2925,Gelderland,2785.0
Koewacht,51.2333,3.9667,Zeeland,2757.0
Broek in Waterland,52.4342,4.9958,Noord-Holland,2756.0
Hallum,53.3064,5.7856,Fryslân,2751.0
Berlicum,51.6772,5.4,Noord-Brabant,2715.0
Gouderak,51.9842,4.6767,Zuid-Holland,2704.0
